date,product_id,product_name,category,quantity,unit_price,amount,region,sales_channel
2024-01-01,P001,笔记本电脑,电子产品,2,5999.00,11998.00,北京,线上
2024-01-02,P002,无线鼠标,电子产品,5,199.00,995.00,上海,线下
2024-01-03,P003,机械键盘,电子产品,3,499.00,1497.00,广州,线上
2024-01-04,P004,显示器,电子产品,1,1999.00,1999.00,深圳,线上
2024-01-05,P005,耳机,电子产品,10,299.00,2990.00,杭州,线下
2024-01-06,P006,充电宝,配件,8,99.00,792.00,北京,线上
2024-01-07,P007,数据线,配件,20,29.00,580.00,上海,线下
2024-01-08,P008,电脑包,配件,5,159.00,795.00,广州,线上
2024-01-09,P009,屏幕清洁剂,配件,15,39.00,585.00,深圳,线上
2024-01-10,P010,USB转接器,配件,12,79.00,948.00,杭州,线下
2024-01-11,P001,笔记本电脑,电子产品,1,5999.00,5999.00,成都,线上
2024-01-12,P002,无线鼠标,电子产品,8,199.00,1592.00,武汉,线下
2024-01-13,P003,机械键盘,电子产品,4,499.00,1996.00,西安,线上
2024-01-14,P004,显示器,电子产品,2,1999.00,3998.00,北京,线上
2024-01-15,P005,耳机,电子产品,6,299.00,1794.00,上海,线下
2024-01-16,P006,充电宝,配件,10,99.00,990.00,广州,线上
2024-01-17,P007,数据线,配件,25,29.00,725.00,深圳,线上
2024-01-18,P008,电脑包,配件,3,159.00,477.00,杭州,线下
2024-01-19,P009,屏幕清洁剂,配件,18,39.00,702.00,成都,线上
2024-01-20,P010,USB转接器,配件,15,79.00,1185.00,武汉,线下
2024-01-21,P001,笔记本电脑,电子产品,3,5999.00,17997.00,西安,线上
2024-01-22,P002,无线鼠标,电子产品,6,199.00,1194.00,北京,线上
2024-01-23,P003,机械键盘,电子产品,5,499.00,2495.00,上海,线下
2024-01-24,P004,显示器,电子产品,2,1999.00,3998.00,广州,线上
2024-01-25,P005,耳机,电子产品,12,299.00,3588.00,深圳,线上
2024-01-26,P006,充电宝,配件,7,99.00,693.00,杭州,线下
2024-01-27,P007,数据线,配件,30,29.00,870.00,成都,线上
2024-01-28,P008,电脑包,配件,4,159.00,636.00,武汉,线下
2024-01-29,P009,屏幕清洁剂,配件,20,39.00,780.00,西安,线上
2024-01-30,P010,USB转接器,配件,8,79.00,632.00,北京,线上
2024-02-01,P001,笔记本电脑,电子产品,1,5999.00,5999.00,上海,线下
2024-02-02,P002,无线鼠标,电子产品,9,199.00,1791.00,广州,线上
2024-02-03,P003,机械键盘,电子产品,2,499.00,998.00,深圳,线上
2024-02-04,P004,显示器,电子产品,3,1999.00,5997.00,杭州,线下
2024-02-05,P005,耳机,电子产品,7,299.00,2093.00,成都,线上
2024-02-06,P006,充电宝,配件,11,99.00,1089.00,武汉,线下
2024-02-07,P007,数据线,配件,22,29.00,638.00,西安,线上
2024-02-08,P008,电脑包,配件,6,159.00,954.00,北京,线上
2024-02-09,P009,屏幕清洁剂,配件,16,39.00,624.00,上海,线下
2024-02-10,P010,USB转接器,配件,14,79.00,1106.00,广州,线上
2024-02-11,P001,笔记本电脑,电子产品,2,5999.00,11998.00,深圳,线上
2024-02-12,P002,无线鼠标,电子产品,4,199.00,796.00,杭州,线下
2024-02-13,P003,机械键盘,电子产品,6,499.00,2994.00,成都,线上
2024-02-14,P004,显示器,电子产品,1,1999.00,1999.00,武汉,线下
2024-02-15,P005,耳机,电子产品,8,299.00,2392.00,西安,线上
2024-02-16,P006,充电宝,配件,9,99.00,891.00,北京,线上
2024-02-17,P007,数据线,配件,28,29.00,812.00,上海,线下
2024-02-18,P008,电脑包,配件,5,159.00,795.00,广州,线上
2024-02-19,P009,屏幕清洁剂,配件,12,39.00,468.00,深圳,线上
2024-02-20,P010,USB转接器,配件,10,79.00,790.00,杭州,线下
2024-02-21,P001,笔记本电脑,电子产品,4,5999.00,23996.00,成都,线上
2024-02-22,P002,无线鼠标,电子产品,7,199.00,1393.00,武汉,线下
2024-02-23,P003,机械键盘,电子产品,3,499.00,1497.00,西安,线上
2024-02-24,P004,显示器,电子产品,2,1999.00,3998.00,北京,线上
2024-02-25,P005,耳机,电子产品,9,299.00,2691.00,上海,线下
2024-02-26,P006,充电宝,配件,13,99.00,1287.00,广州,线上
2024-02-27,P007,数据线,配件,35,29.00,1015.00,深圳,线上
2024-02-28,P008,电脑包,配件,2,159.00,318.00,杭州,线下
2024-02-29,P009,屏幕清洁剂,配件,19,39.00,741.00,成都,线上
2024-03-01,P010,USB转接器,配件,16,79.00,1264.00,武汉,线下
2024-03-02,P001,笔记本电脑,电子产品,1,5999.00,5999.00,西安,线上
2024-03-03,P002,无线鼠标,电子产品,5,199.00,995.00,北京,线上
2024-03-04,P003,机械键盘,电子产品,7,499.00,3493.00,上海,线下
2024-03-05,P004,显示器,电子产品,3,1999.00,5997.00,广州,线上
2024-03-06,P005,耳机,电子产品,11,299.00,3289.00,深圳,线上
2024-03-07,P006,充电宝,配件,8,99.00,792.00,杭州,线下
2024-03-08,P007,数据线,电子产品,24,29.00,696.00,成都,线上
2024-03-09,P008,电脑包,电子产品,3,159.00,477.00,武汉,线下
2024-03-10,P009,屏幕清洁剂,电子产品,17,39.00,663.00,西安,线上
2024-03-11,P010,USB转接器,电子产品,9,79.00,711.00,北京,线上
2024-03-12,P001,笔记本电脑,电子产品,2,5999.00,11998.00,上海,线下
2024-03-13,P002,无线鼠标,电子产品,6,199.00,1194.00,广州,线上
2024-03-14,P003,机械键盘,电子产品,4,499.00,1996.00,深圳,线上
2024-03-15,P004,显示器,电子产品,1,1999.00,1999.00,杭州,线下
2024-03-16,P005,耳机,电子产品,10,299.00,2990.00,成都,线上
2024-03-17,P006,充电宝,配件,12,99.00,1188.00,武汉,线下
2024-03-18,P007,数据线,配件,26,29.00,754.00,西安,线上
2024-03-19,P008,电脑包,配件,7,159.00,1113.00,北京,线上
2024-03-20,P009,屏幕清洁剂,配件,14,39.00,546.00,上海,线下
2024-03-21,P010,USB转接器,配件,11,79.00,869.00,广州,线上
2024-03-22,P001,笔记本电脑,电子产品,3,5999.00,17997.00,深圳,线上
2024-03-23,P002,无线鼠标,电子产品,8,199.00,1592.00,杭州,线下
2024-03-24,P003,机械键盘,电子产品,5,499.00,2495.00,成都,线上
2024-03-25,P004,显示器,电子产品,2,1999.00,3998.00,武汉,线下
2024-03-26,P005,耳机,电子产品,6,299.00,1794.00,西安,线上
2024-03-27,P006,充电宝,配件,9,99.00,891.00,北京,线上
2024-03-28,P007,数据线,配件,31,29.00,899.00,上海,线下
2024-03-29,P008,电脑包,配件,4,159.00,636.00,广州,线上
2024-03-30,P009,屏幕清洁剂,配件,21,39.00,819.00,深圳,线上
2024-03-31,P010,USB转接器,配件,13,79.00,1027.00,杭州,线下
